 0.8544,"In the name of Allah, Most Gracious, Most Merciful.","Gracious is the LORD, and righteous; yea, our God is merciful."
 0.9425,"And be steadfast in prayer and regular in charity: And whatever good ye send forth for your souls before you, ye shall find it with Allah: for Allah sees Well all that ye do.","Take heed that ye do not your alms before men, to be seen of them: otherwise ye have no reward of your Father which is in heaven."
 0.9304,"And they say: ""None shall enter Paradise unless he be a Jew or a Christian."" Those are their (vain) desires. Say: ""Produce your proof if ye are truthful.""","But the righteousness which is of faith speaketh on this wise, Say not in thine heart, Who shall ascend into heaven? (that is, to bring Christ down from above:)"
 0.9300,"Nay,-whoever submits His whole self to Allah and is a doer of good,- He will get his reward with his Lord; on such shall be no fear, nor shall they grieve.","If a man vow a vow unto the LORD, or swear an oath to bind his soul with a bond; he shall not break his word, he shall do according to all that proceedeth out of his mouth."
 0.9368,"The Jews say: ""The Christians have naught (to stand) upon; and the Christians say: ""The Jews have naught (To stand) upon."" Yet they (Profess to) study the (same) Book. Like unto their word is what those say who know not; but Allah will judge between them in their quarrel on the Day of Judgment.","And it shall come to pass at that time, that I will search Jerusalem with candles, and punish the men that are settled on their lees: that say in their heart, The LORD will not do good, neither will he do evil."
 0.9372,"And who is more unjust than he who forbids that in places for the worship of Allah, Allah's name should be celebrated?-whose zeal is (in fact) to ruin them? It was not fitting that such should themselves enter them except in fear. For them there is nothing but disgrace in this world, and in the world to come, an exceeding torment.","Who knowing the judgment of God, that they which commit such things are worthy of death, not only do the same, but have pleasure in them that do them."
 0.9308,"To Allah belong the east and the West: Whithersoever ye turn, there is the presence of Allah. For Allah is all-Pervading, all-Knowing.","The eternal God is thy refuge, and underneath are the everlasting arms: and he shall thrust out the enemy from before thee; and shall say, Destroy them."
 0.9225,"They say: ""Allah hath begotten a son"": Glory be to Him.-Nay, to Him belongs all that is in the heavens and on earth: everything renders worship to Him.","Sing unto God, sing praises to his name: extol him that rideth upon the heavens by his name JAH, and rejoice before him."
 0.9397,"To Him is due the primal origin of the heavens and the earth: When He decreeth a matter, He saith to it: ""Be,"" and it is.","Thus saith the LORD the maker thereof, the LORD that formed it, to establish it; the LORD is his name;"
 0.9425,"Say those without knowledge: ""Why speaketh not Allah unto us? or why cometh not unto us a Sign?"" So said the people before them words of similar import. Their hearts are alike. We have indeed made clear the Signs unto any people who hold firmly to Faith (in their hearts).","And Judah said, What shall we say unto my lord? what shall we speak? or how shall we clear ourselves? God hath found out the iniquity of thy servants: behold, we are my lord's servants, both we, and he also with whom the cup is found."
 0.9258,Verily We have sent thee in truth as a bearer of glad tidings and a warner: But of thee no question shall be asked of the Companions of the Blazing Fire.,"I rejoiced greatly that I found of thy children walking in truth, as we have received a commandment from the Father."
 0.9454,"Never will the Jews or the Christians be satisfied with thee unless thou follow their form of religion. Say: ""The Guidance of Allah,-that is the (only) Guidance."" Wert thou to follow their desires after the knowledge which hath reached thee, then wouldst thou find neither Protector nor helper against Allah.","Behold therefore the goodness and severity of God: on them which fell, severity; but toward thee, goodness, if thou continue in his goodness: otherwise thou also shalt be cut off."
 0.9248,"Those to whom We have sent the Book study it as it should be studied: They are the ones that believe therein: Those who reject faith therein,- the loss is their own.","Obey them that have the rule over you, and submit yourselves: for they watch for your souls, as they that must give account, that they may do it with joy, and not with grief: for that is unprofitable for you."
 0.9309,"O Children of Israel! call to mind the special favour which I bestowed upon you, and that I preferred you to all others (for My Message).","And I commanded you at that time, saying, The LORD your God hath given you this land to possess it: ye shall pass over armed before your brethren the children of Israel, all that are meet for the war."
