 1.0000,In the beginning God created the heaven and the earth.,In the beginning God created the heaven and the earth.
 1.0000,"And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female.","And of every living thing of all flesh, two of every sort shalt thou bring into the ark, to keep them alive with thee; they shall be male and female."
 1.0000,"Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive.","Of fowls after their kind, and of cattle after their kind, of every creeping thing of the earth after his kind, two of every sort shall come unto thee, to keep them alive."
 1.0000,"And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them.","And take thou unto thee of all food that is eaten, and thou shalt gather it to thee; and it shall be for food for thee, and for them."
 1.0000,"Thus did Noah; according to all that God commanded him, so did he.","Thus did Noah; according to all that God commanded him, so did he."
 1.0000,"And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation.","And the LORD said unto Noah, Come thou and all thy house into the ark; for thee have I seen righteous before me in this generation."
 1.0000,"Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female.","Of every clean beast thou shalt take to thee by sevens, the male and his female: and of beasts that are not clean by two, the male and his female."
 1.0000,"Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth.","Of fowls also of the air by sevens, the male and the female; to keep seed alive upon the face of all the earth."
 1.0000,"For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth.","For yet seven days, and I will cause it to rain upon the earth forty days and forty nights; and every living substance that I have made will I destroy from off the face of the earth."
 1.0000,And Noah did according unto all that the LORD commanded him.,And Noah did according unto all that the LORD commanded him.
 1.0000,And Noah was six hundred years old when the flood of waters was upon the earth.,And Noah was six hundred years old when the flood of waters was upon the earth.
 1.0000,"And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood.","And Noah went in, and his sons, and his wife, and his sons' wives with him, into the ark, because of the waters of the flood."
 1.0000,"Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth,","Of clean beasts, and of beasts that are not clean, and of fowls, and of every thing that creepeth upon the earth,"
 1.0000,"There went in two and two unto Noah into the ark, the male and the female, as God had commanded Noah.","There went in two and two unto Noah into the ark, the male and the female, as God had commanded Noah."
 1.0000,"And it came to pass after seven days, that the waters of the flood were upon the earth.","And it came to pass after seven days, that the waters of the flood were upon the earth."
 1.0000,"In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened.","In the six hundredth year of Noah's life, in the second month, the seventeenth day of the month, the same day were all the fountains of the great deep broken up, and the windows of heaven were opened."
 1.0000,And the rain was upon the earth forty days and forty nights.,And the rain was upon the earth forty days and forty nights.
 1.0000,"In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark;","In the selfsame day entered Noah, and Shem, and Ham, and Japheth, the sons of Noah, and Noah's wife, and the three wives of his sons with them, into the ark;"
 1.0000,"They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort.","They, and every beast after his kind, and all the cattle after their kind, and every creeping thing that creepeth upon the earth after his kind, and every fowl after his kind, every bird of every sort."
 1.0000,"And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life.","And they went in unto Noah into the ark, two and two of all flesh, wherein is the breath of life."
 1.0000,"And they that went in, went in male and female of all flesh, as God had commanded him: and the LORD shut him in.","And they that went in, went in male and female of all flesh, as God had commanded him: and the LORD shut him in."
 1.0000,"And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lift up above the earth.","And the flood was forty days upon the earth; and the waters increased, and bare up the ark, and it was lift up above the earth."
