 0.9243,In the beginning God created the heaven and the earth.,A revelation from Him Who created the earth and the heavens on high.
 0.8838,"And he said, Let us take our journey, and let us go, and I will go before thee.","So he smiled, amused at her speech; and he said: ""O my Lord! so order me that I may be grateful for Thy favours, which thou hast bestowed on me and on my parents, and that I may work the righteousness that will please Thee: And admit me, by Thy Grace, to the ranks of Thy righteous Servants."""
 0.9159,"And he said unto him, My lord knoweth that the children are tender, and the flocks and herds with young are with me: and if men should overdrive them one day, all the flock will die.","And when Our Messengers came to Lut, he was grieved on their account, and felt himself powerless (to protect) them: but they said: ""Fear thou not, nor grieve: we are (here) to save thee and thy following, except thy wife: she is of those who lag behind."
 0.9498,"Let my lord, I pray thee, pass over before his servant: and I will lead on softly, according as the cattle that goeth before me and the children be able to endure, until I come unto my lord unto Seir.","It is He Who has made the sea subject, that ye may eat thereof flesh that is fresh and tender, and that ye may extract therefrom ornaments to wear; and thou seest the ships therein that plough the waves, that ye may seek (thus) of the bounty of Allah and that ye may be grateful."
 0.9308,"And Esau said, Let me now leave with thee some of the folk that are with me. And he said, What needeth it? let me find grace in the sight of my lord.","When My servants ask thee concerning Me, I am indeed close (to them): I listen to the prayer of every suppliant when he calleth on Me: Let them also, with a will, Listen to My call, and believe in Me: That they may walk in the right way."
 0.9298,So Esau returned that day on his way unto Seir.,The people of Lut rejected (his) warning.
 0.9336,"And Jacob journeyed to Succoth, and built him an house, and made booths for his cattle: therefore the name of the place is called Succoth.","Remember We made the House a place of assembly for men and a place of safety; and take ye the station of Abraham as a place of prayer; and We covenanted with Abraham and Isma'il, that they should sanctify My House for those who compass it round, or use it as a retreat, or bow, or prostrate themselves (therein in prayer)."
 0.9160,"And Jacob came to Shalem, a city of Shechem, which is in the land of Canaan, when he came from Padanaram; and pitched his tent before the city.","We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9128,"And he bought a parcel of a field, where he had spread his tent, at the hand of the children of Hamor, Shechem's father, for an hundred pieces of money.","The (Brethren) sold him for a miserable price, for a few dirhams counted out: in such low estimation did they hold him!"
 0.8988,"And he erected there an altar, and called it EleloheIsrael.","(Before this,) We sent Moses The Book, and appointed his brother Aaron with him as minister;"
 0.9296,"And Dinah the daughter of Leah, which she bare unto Jacob, went out to see the daughters of the land.","We did aforetime give Moses the (Book of) Guidance, and We gave the book in inheritance to the Children of Israel,-"
 0.9047,"And when Shechem the son of Hamor the Hivite, prince of the country, saw her, he took her, and lay with her, and defiled her.","So by deceit he brought about their fall: when they tasted of the tree, their shame became manifest to them, and they began to sew together the leaves of the garden over their bodies. And their Lord called unto them: ""Did I not forbid you that tree, and tell you that Satan was an avowed enemy unto you?"""
 0.9294,"And his soul clave unto Dinah the daughter of Jacob, and he loved the damsel, and spake kindly unto the damsel.","And We have enjoined on man (to be good) to his parents: in travail upon travail did his mother bear him, and in years twain was his weaning: (hear the command), ""Show gratitude to Me and to thy parents: to Me is (thy final) Goal."
 0.8303,"And Shechem spake unto his father Hamor, saying, Get me this damsel to wife.","So the king said: ""Bring him unto me; I will take him specially to serve about my own person."" Therefore when he had spoken to him, he said: ""Be assured this day, thou art, before our own presence, with rank firmly established, and fidelity fully proved!"
 0.9196,And Jacob heard that he had defiled Dinah his daughter: now his sons were with his cattle in the field: and Jacob held his peace until they were come.,"But they rejected him: Then the mighty Blast seized them, and they lay prostrate in their homes by the morning."
 0.9177,And Hamor the father of Shechem went out unto Jacob to commune with him.,But We delivered him and (his nephew) Lut (and directed them) to the land which We have blessed for the nations.
 0.9094,"And the sons of Jacob came out of the field when they heard it: and the men were grieved, and they were very wroth, because he had wrought folly in Israel in lying with Jacob's daughter: which thing ought not to be done.","And his wife was standing (there), and she laughed: But we gave her glad tidings of Isaac, and after him, of Jacob."
 0.9069,"And Hamor communed with them, saying, The soul of my son Shechem longeth for your daughter: I pray you give her him to wife.","There did Zakariya pray to his Lord, saying: ""O my Lord! Grant unto me from Thee a progeny that is pure: for Thou art He that heareth prayer!"
 0.8798,"And make ye marriages with us, and give your daughters unto us, and take our daughters unto you.","And those who pray, ""Our Lord! Grant unto us wives and offspring who will be the comfort of our eyes, and give us (the grace) to lead the righteous."""
 0.9240,"And ye shall dwell with us: and the land shall be before you; dwell and trade ye therein, and get you possessions therein.","We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression."""
 0.9297,"And Shechem said unto her father and unto her brethren, Let me find grace in your eyes, and what ye shall say unto me I will give.","When My servants ask thee concerning Me, I am indeed close (to them): I listen to the prayer of every suppliant when he calleth on Me: Let them also, with a will, Listen to My call, and believe in Me: That they may walk in the right way."
